index	Latitude	Longitude	Age Max	Age Min	ID	Openness	mean_age
402	39.43	-74.76	22.0	15.0	2966	Open/closed	18.5
403	39.43	-74.76	22.0	15.0	2967	Open/closed	18.5
404	36.34	-103.19	5.3	2.6	2968	Not possible to determine	3.95
405	36.69	-103.1	5.3	2.6	2969	Not possible to determine	3.95
406	43.84	-73.05	25.0	10.0	2986	Closed	17.5
407	42.19	-103.79	20.4	12.4	2987	Open	16.4
408	42.39	-98.23	23.0	16.0	2988	Open	19.5
409	42.39	-98.23	23.0	16.0	2989	Open	19.5
410	42.39	-98.23	23.0	16.0	2990	Open	19.5
411	42.39	-98.23	23.0	16.0	2991	Not possible to determine	19.5
412	42.39	-98.23	23.0	16.0	2992	Open	19.5
413	42.39	-98.23	23.0	16.0	2993	Open	19.5
414	42.39	-98.23	23.0	16.0	2994	Not possible to determine	19.5
415	42.39	-98.23	23.0	16.0	2995	Not possible to determine	19.5
416	42.39	-98.23	23.0	16.0	2996	Not possible to determine	19.5
417	46.0	-119.0	10.0	5.0	3001	Closed	7.5
418	46.0	-119.0	10.0	5.0	3002	Closed	7.5
419	46.0	-119.0	10.0	5.0	3003	Closed	7.5
420	46.0	-119.0	10.0	5.0	3004	Closed	7.5
421	46.0	-119.0	10.0	5.0	3005	Closed	7.5
422	46.0	-119.0	10.0	5.0	3006	Closed	7.5
423	46.0	-119.0	10.0	5.0	3007	Closed	7.5
424	46.0	-119.0	10.0	5.0	3008	Closed	7.5
425	46.0	-119.0	10.0	5.0	3009	Closed	7.5
426	46.0	-119.0	10.0	5.0	3010	Closed	7.5
427	46.0	-119.0	10.0	5.0	3011	Closed	7.5
428	46.0	-119.0	10.0	5.0	3012	Closed	7.5
429	46.0	-119.0	10.0	5.0	3013	Closed	7.5
430	46.0	-119.0	10.0	5.0	3014	Closed	7.5
431	46.0	-119.0	10.0	5.0	3015	Closed	7.5
432	46.0	-119.0	10.0	5.0	3016	Closed	7.5
433	46.0	-119.0	10.0	5.0	3017	Closed	7.5
434	46.0	-119.0	10.0	5.0	3018	Closed	7.5
435	46.0	-119.0	10.0	5.0	3019	Closed	7.5
436	46.0	-119.0	10.0	5.0	3020	Closed	7.5
437	46.0	-119.0	10.0	5.0	3021	Closed	7.5
438	46.0	-119.0	10.0	5.0	3022	Closed	7.5
439	46.0	-119.0	10.0	5.0	3023	Closed	7.5
440	46.0	-119.0	10.0	5.0	3024	Closed	7.5
441	46.0	-119.0	10.0	5.0	3025	Closed	7.5
442	46.0	-119.0	10.0	5.0	3026	Closed	7.5
443	46.0	-119.0	10.0	5.0	3027	Closed	7.5
444	46.0	-119.0	10.0	5.0	3028	Closed	7.5
445	46.0	-119.0	10.0	5.0	3029	Closed	7.5
446	46.0	-119.0	10.0	5.0	3030	Closed	7.5
447	46.0	-119.0	10.0	5.0	3031	Closed	7.5
448	46.0	-119.0	10.0	5.0	3032	Closed	7.5
449	46.0	-119.0	10.0	5.0	3033	Closed	7.5
450	46.0	-119.0	10.0	5.0	3034	Closed	7.5
451	46.0	-119.0	10.0	5.0	3035	Closed	7.5
452	46.0	-119.0	10.0	5.0	3036	Closed	7.5
453	46.0	-119.0	10.0	5.0	3037	Closed	7.5
454	42.0	-115.0	3.4	2.6	3038	Open	3.0
455	42.0	-115.0	3.4	2.6	3039	Closed	3.0
456	42.0	-115.0	3.4	2.6	3040	Open	3.0
457	42.0	-115.0	3.4	2.6	3041	Closed	3.0
458	42.0	-115.0	3.4	2.6	3042	Open	3.0
459	42.0	-115.0	3.4	2.6	3043	Closed	3.0
460	42.0	-115.0	3.4	2.6	3044	Closed	3.0
461	42.0	-115.0	3.4	2.6	3045	Closed	3.0
462	42.0	-115.0	3.4	2.6	3046	Closed	3.0
463	42.0	-115.0	3.4	2.6	3047	Closed	3.0
464	42.0	-115.0	16.0	5.3	3048	Closed	10.65
