	0.0	0.0042	0.0082	0.0117	0.0126	0.773	1.8	2.58	3.6	5.333	7.246	11.63	13.82	15.97	20.44	23.03	27.82	33.9
Hitonkala	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0
Holmesina	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0
Homo	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
Homotherium	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0
Hoplictis	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Hoplophoneus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Hyaenodon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Hydrangeaceae	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
Hypertragulus	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0
Hypohippus	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0
Hypolagus	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0
Hypsiops	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
Hypsoparia	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
Hyracodon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Hystricops	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0
Ilingoceros	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
Indarctos	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
Ingentisorex	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
Ischyrocyon	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
Jacobsomys	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Jimomys	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0
Juglandaceae	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
Kalobatippus	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0
Kansasimys	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
Karstala	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Kentriodon	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0
Kirkomys	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Kogia	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
Korthomys	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0
Kyptoceras	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Lambdoceras	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0
Lantanotherium	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
Lanthanotherium	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
Lasionycteris	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
